,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.48,0.48181817,0.53,0.5047619
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.505,0.5070422,0.36,0.42105263
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.52,0.53333336,0.32,0.39999998
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.53999996,0.54761904,0.46,0.5
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.675,0.6100629,0.97,0.7490348
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.78,0.74561405,0.85,0.7943925
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.77,0.77,0.77,0.77
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.79999995,0.8333333,0.75,0.7894737
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.69,0.6507937,0.82,0.7256637
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.705,0.67826086,0.78,0.7255814
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.71,0.7386364,0.65,0.69148934
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.705,0.76623374,0.59,0.6666666
12,bing,True,FGSM,alexnet,20/80,alexnet,ddg,20/80,0.53,0.5202703,0.77,0.62096775
13,bing,True,FGSM,alexnet,20/80,alexnet,ddg,30/70,0.53999996,0.55714285,0.39,0.45882353
14,bing,True,FGSM,alexnet,20/80,alexnet,ddg,40/60,0.53,0.5576923,0.29,0.38157895
15,bing,True,FGSM,alexnet,20/80,alexnet,ddg,50/50,0.505,0.51428574,0.18,0.26666668
16,bing,True,FGSM,alexnet,20/80,resnet,ddg,20/80,0.715,0.6837607,0.8,0.7373272
17,bing,True,FGSM,alexnet,20/80,resnet,ddg,30/70,0.76,0.94827586,0.55,0.6962025
18,bing,True,FGSM,alexnet,20/80,resnet,ddg,40/60,0.65999997,0.9705882,0.33,0.4925373
19,bing,True,FGSM,alexnet,20/80,resnet,ddg,50/50,0.755,0.94736844,0.54,0.6878981
20,bing,True,FGSM,alexnet,20/80,vgg,ddg,20/80,0.695,0.648855,0.85,0.73593074
21,bing,True,FGSM,alexnet,20/80,vgg,ddg,30/70,0.685,0.6831683,0.69,0.6865672
22,bing,True,FGSM,alexnet,20/80,vgg,ddg,40/60,0.69,0.8064516,0.5,0.617284
23,bing,True,FGSM,alexnet,20/80,vgg,ddg,50/50,0.685,0.76811594,0.53,0.6272189
24,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.585,0.57024795,0.69,0.6244344
25,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.57,0.60294116,0.41,0.48809522
26,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.57,0.6296296,0.34,0.44155845
27,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.57,0.64,0.32,0.42666668
28,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.75,0.6953125,0.89,0.78070176
29,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.695,0.88235295,0.45,0.5960265
30,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.72499996,0.90909094,0.5,0.6451613
31,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.71999997,0.9583333,0.46,0.6216216
