,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.41,0.425,0.51,0.46363637
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.42499998,0.36842105,0.21,0.2675159
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.48499998,0.2,0.01,0.01904762
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.48,0.47435898,0.37,0.41573033
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.51,0.50510204,0.99,0.6689189
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.60499996,0.5714286,0.84,0.68016195
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.635,0.5985401,0.82,0.6919831
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.625,0.72727275,0.4,0.5161291
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.57,0.53977275,0.95,0.6884058
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.585,0.55279505,0.89,0.68199235
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.625,0.61904764,0.65,0.63414633
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.555,0.6037736,0.32,0.41830066
12,bing,True,FGSM,alexnet,20/80,alexnet,ddg,20/80,0.49499997,0.49746192,0.98,0.6599326
13,bing,True,FGSM,alexnet,20/80,alexnet,ddg,30/70,0.505,0.52,0.13,0.208
14,bing,True,FGSM,alexnet,20/80,alexnet,ddg,40/60,0.39499998,0.36363637,0.28,0.3163842
15,bing,True,FGSM,alexnet,20/80,alexnet,ddg,50/50,0.51,1.0,0.02,0.039215688
16,bing,True,FGSM,alexnet,20/80,resnet,ddg,20/80,0.59999996,0.58064514,0.72,0.6428572
17,bing,True,FGSM,alexnet,20/80,resnet,ddg,30/70,0.57,0.7692308,0.2,0.31746033
18,bing,True,FGSM,alexnet,20/80,resnet,ddg,40/60,0.51,0.75,0.03,0.057692308
19,bing,True,FGSM,alexnet,20/80,resnet,ddg,50/50,0.58,0.8333333,0.2,0.32258067
20,bing,True,FGSM,alexnet,20/80,vgg,ddg,20/80,0.59,0.56,0.84,0.672
21,bing,True,FGSM,alexnet,20/80,vgg,ddg,30/70,0.655,0.63716817,0.72,0.6760564
22,bing,True,FGSM,alexnet,20/80,vgg,ddg,40/60,0.53,0.65,0.13,0.21666665
23,bing,True,FGSM,alexnet,20/80,vgg,ddg,50/50,0.525,0.6923077,0.09,0.15929204
24,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.45999998,0.45555556,0.41,0.43157893
25,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.49499997,0.48,0.12,0.192
26,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.49499997,0.4848485,0.16,0.24060151
27,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.49499997,0.4864865,0.18,0.26277375
28,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.5,0.5,0.82,0.6212121
29,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.53999996,0.8333333,0.1,0.17857143
30,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.53499997,0.7058824,0.12,0.2051282
31,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.53499997,0.8181818,0.09,0.16216217
32,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.585,0.5714286,0.68,0.6210046
