,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
0,bing,True,FGSM,vgg,30/70,alexnet,bing,20/80,0.53499997,0.53271025,0.57,0.5507246
1,bing,True,FGSM,vgg,30/70,alexnet,bing,30/70,0.53,0.5394737,0.41,0.4659091
2,bing,True,FGSM,vgg,30/70,alexnet,bing,40/60,0.515,0.8,0.04,0.07619048
3,bing,True,FGSM,vgg,30/70,alexnet,bing,50/50,0.53499997,0.6060606,0.2,0.3007519
4,bing,True,FGSM,vgg,30/70,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
5,bing,True,FGSM,vgg,30/70,resnet,bing,30/70,0.565,0.53801167,0.92,0.6789668
6,bing,True,FGSM,vgg,30/70,resnet,bing,40/60,0.60499996,0.56287426,0.94,0.70411986
7,bing,True,FGSM,vgg,30/70,resnet,bing,50/50,0.615,0.592,0.74,0.6577778
8,bing,True,FGSM,vgg,30/70,vgg,bing,20/80,0.565,0.5363129,0.96,0.68817204
9,bing,True,FGSM,vgg,30/70,vgg,bing,30/70,0.60499996,0.56953645,0.86,0.685259
10,bing,True,FGSM,vgg,30/70,vgg,bing,40/60,0.53499997,0.58536583,0.24,0.3404255
11,bing,True,FGSM,vgg,30/70,vgg,bing,50/50,0.515,0.5555556,0.15,0.2362205
12,bing,True,FGSM,vgg,30/70,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
13,bing,True,FGSM,vgg,30/70,alexnet,ddg,30/70,0.60499996,0.60194176,0.62,0.6108375
14,bing,True,FGSM,vgg,30/70,alexnet,ddg,40/60,0.48,0.4861111,0.7,0.57377046
15,bing,True,FGSM,vgg,30/70,alexnet,ddg,50/50,0.53,0.75,0.09,0.16071428
16,bing,True,FGSM,vgg,30/70,resnet,ddg,20/80,0.575,0.55813956,0.72,0.628821
17,bing,True,FGSM,vgg,30/70,resnet,ddg,30/70,0.545,0.6097561,0.25,0.35460994
18,bing,True,FGSM,vgg,30/70,resnet,ddg,40/60,0.48999998,0.25,0.01,0.01923077
19,bing,True,FGSM,vgg,30/70,resnet,ddg,50/50,0.55,0.6315789,0.24,0.34782606
20,bing,True,FGSM,vgg,30/70,vgg,ddg,20/80,0.525,0.5146199,0.88,0.6494465
21,bing,True,FGSM,vgg,30/70,vgg,ddg,30/70,0.565,0.54744524,0.75,0.6329113
22,bing,True,FGSM,vgg,30/70,vgg,ddg,40/60,0.48999998,0.33333334,0.02,0.03773585
23,bing,True,FGSM,vgg,30/70,vgg,ddg,50/50,0.5,0.5,0.02,0.03846154
24,bing,True,FGSM,vgg,30/70,alexnet,google,20/80,0.565,0.5730337,0.51,0.5396825
25,bing,True,FGSM,vgg,30/70,alexnet,google,30/70,0.53,0.6363636,0.14,0.22950819
26,bing,True,FGSM,vgg,30/70,alexnet,google,40/60,0.53999996,0.6666667,0.16,0.2580645
27,bing,True,FGSM,vgg,30/70,alexnet,google,50/50,0.5,0.5,0.13,0.2063492
28,bing,True,FGSM,vgg,30/70,resnet,google,20/80,0.51,0.5052083,0.97,0.6643836
29,bing,True,FGSM,vgg,30/70,resnet,google,30/70,0.515,0.52459013,0.32,0.3975155
30,bing,True,FGSM,vgg,30/70,resnet,google,40/60,0.475,0.4528302,0.24,0.31372547
31,bing,True,FGSM,vgg,30/70,resnet,google,50/50,0.51,0.53571427,0.15,0.23437501
32,bing,True,FGSM,vgg,30/70,vgg,google,20/80,0.555,0.54198474,0.71,0.6147186
