,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
0,bing,True,FGSM,vgg,30/70,alexnet,bing,20/80,0.59499997,0.5904762,0.62,0.60487807
1,bing,True,FGSM,vgg,30/70,alexnet,bing,30/70,0.565,0.5942029,0.41,0.4852071
2,bing,True,FGSM,vgg,30/70,alexnet,bing,40/60,0.545,0.8,0.12,0.20869565
3,bing,True,FGSM,vgg,30/70,alexnet,bing,50/50,0.625,0.704918,0.43,0.5341615
4,bing,True,FGSM,vgg,30/70,resnet,bing,20/80,0.52,0.5102041,1.0,0.6756757
5,bing,True,FGSM,vgg,30/70,resnet,bing,30/70,0.555,0.53503186,0.84,0.6536965
6,bing,True,FGSM,vgg,30/70,resnet,bing,40/60,0.565,0.5448276,0.79,0.64489794
7,bing,True,FGSM,vgg,30/70,resnet,bing,50/50,0.615,0.59504133,0.72,0.6515838
8,bing,True,FGSM,vgg,30/70,vgg,bing,20/80,0.53999996,0.5232558,0.9,0.6617647
9,bing,True,FGSM,vgg,30/70,vgg,bing,30/70,0.56,0.54347825,0.75,0.6302521
10,bing,True,FGSM,vgg,30/70,vgg,bing,40/60,0.53999996,0.5869565,0.27,0.36986303
11,bing,True,FGSM,vgg,30/70,vgg,bing,50/50,0.49499997,0.4857143,0.17,0.25185186
12,bing,True,FGSM,vgg,30/70,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
13,bing,True,FGSM,vgg,30/70,alexnet,ddg,30/70,0.655,0.6741573,0.6,0.63492066
14,bing,True,FGSM,vgg,30/70,alexnet,ddg,40/60,0.505,0.50427353,0.59,0.5437788
15,bing,True,FGSM,vgg,30/70,alexnet,ddg,50/50,0.55,0.7777778,0.14,0.23728815
16,bing,True,FGSM,vgg,30/70,resnet,ddg,20/80,0.585,0.5611511,0.78,0.6527197
17,bing,True,FGSM,vgg,30/70,resnet,ddg,30/70,0.58,0.63793105,0.37,0.4683545
18,bing,True,FGSM,vgg,30/70,resnet,ddg,40/60,0.515,0.6363636,0.07,0.12612613
19,bing,True,FGSM,vgg,30/70,resnet,ddg,50/50,0.59,0.640625,0.41,0.5
20,bing,True,FGSM,vgg,30/70,vgg,ddg,20/80,0.53,0.5197368,0.79,0.6269841
21,bing,True,FGSM,vgg,30/70,vgg,ddg,30/70,0.545,0.5338346,0.71,0.60944206
22,bing,True,FGSM,vgg,30/70,vgg,ddg,40/60,0.475,0.30769232,0.04,0.07079646
23,bing,True,FGSM,vgg,30/70,vgg,ddg,50/50,0.48999998,0.375,0.03,0.055555552
24,bing,True,FGSM,vgg,30/70,alexnet,google,20/80,0.645,0.616,0.77,0.6844445
25,bing,True,FGSM,vgg,30/70,alexnet,google,30/70,0.52,0.55,0.22,0.31428573
26,bing,True,FGSM,vgg,30/70,alexnet,google,40/60,0.59499997,0.7209302,0.31,0.43356642
27,bing,True,FGSM,vgg,30/70,alexnet,google,50/50,0.53499997,0.5897436,0.23,0.33093527
28,bing,True,FGSM,vgg,30/70,resnet,google,20/80,0.545,0.5251397,0.94,0.67383516
29,bing,True,FGSM,vgg,30/70,resnet,google,30/70,0.555,0.6037736,0.32,0.41830066
30,bing,True,FGSM,vgg,30/70,resnet,google,40/60,0.555,0.6122449,0.3,0.40268457
31,bing,True,FGSM,vgg,30/70,resnet,google,50/50,0.545,0.6363636,0.21,0.31578946
32,bing,True,FGSM,vgg,30/70,vgg,google,20/80,0.55,0.5378788,0.71,0.61206895
33,bing,True,FGSM,vgg,30/70,vgg,google,30/70,0.57,0.5729167,0.55,0.5612245
34,bing,True,FGSM,vgg,30/70,vgg,google,40/60,0.51,0.525,0.21,0.29999998
35,bing,True,FGSM,vgg,30/70,vgg,google,50/50,0.49499997,0.44444445,0.04,0.0733945
36,bing,True,FGSM,vgg,40/60,alexnet,bing,20/80,0.58,0.5754717,0.61,0.592233
37,bing,True,FGSM,vgg,40/60,alexnet,bing,30/70,0.565,0.6,0.39,0.47272727
38,bing,True,FGSM,vgg,40/60,alexnet,bing,40/60,0.545,0.7368421,0.14,0.23529412
39,bing,True,FGSM,vgg,40/60,alexnet,bing,50/50,0.575,0.6315789,0.36,0.4585987
40,bing,True,FGSM,vgg,40/60,resnet,bing,20/80,0.51,0.50510204,0.99,0.6689189
41,bing,True,FGSM,vgg,40/60,resnet,bing,30/70,0.59499997,0.5597484,0.89,0.68725866
42,bing,True,FGSM,vgg,40/60,resnet,bing,40/60,0.59,0.56,0.84,0.672
43,bing,True,FGSM,vgg,40/60,resnet,bing,50/50,0.635,0.6097561,0.75,0.67264575
44,bing,True,FGSM,vgg,40/60,vgg,bing,20/80,0.545,0.5269461,0.88,0.65917605
45,bing,True,FGSM,vgg,40/60,vgg,bing,30/70,0.59999996,0.57575756,0.76,0.6551724
46,bing,True,FGSM,vgg,40/60,vgg,bing,40/60,0.505,0.5116279,0.22,0.3076923
47,bing,True,FGSM,vgg,40/60,vgg,bing,50/50,0.505,0.516129,0.16,0.24427481
