Dataset used for Training,Model,Imbalance Level,Bing,DDG,Google
Bing,ResNet,Original,0.9704,0.9756,0.9743
Bing,ResNet,Weak,0.9685,0.9696,0.9682
Bing,ResNet,Medium ,0.9699,0.9751,0.9751
Bing,ResNet,Strong,0.9561,0.9597,0.9606
Bing,AlexNet,Original,0.9489,0.9481,0.9460
Bing,AlexNet,Weak,0.9453,0.9315,0.9291
Bing,AlexNet,Medium ,0.9403,0.9404,0.9448
Bing,AlexNet,Strong,0.9272,0.9398,0.9398
Bing,VGG,Original,0.9791,0.9814,0.9801
Bing,VGG,Weak,0.9796,0.9825,0.9766
Bing,VGG,Medium ,0.9735,0.9801,0.9719
Bing,VGG,Strong,0.9717,0.9802,0.9697
DuckDuckGo,ResNet,Original,0.9679,0.9733,0.9729
DuckDuckGo,ResNet,Weak,0.9684,0.9686,0.9763
DuckDuckGo,ResNet,Medium ,0.9708,0.9706,0.9747
DuckDuckGo,ResNet,Strong,0.9551,0.9569,0.9607
DuckDuckGo,AlexNet,Original,0.9459,0.9528,0.9488
DuckDuckGo,AlexNet,Weak,0.9508,0.9454,0.9462
DuckDuckGo,AlexNet,Medium ,0.9497,0.9480,0.9514
DuckDuckGo,AlexNet,Strong,0.9290,0.9459,0.9321
DuckDuckGo,VGG,Original,0.9732,0.9830,0.9801
DuckDuckGo,VGG,Weak,0.9756,0.9845,0.9840
DuckDuckGo,VGG,Medium ,0.9697,0.9772,0.9720
DuckDuckGo,VGG,Strong,0.9641,0.9692,0.9627
Google,ResNet,Original,0.9562,0.9486,0.9504
Google,ResNet,Weak,0.9500,0.9447,0.9490
Google,ResNet,Medium ,0.9445,0.9518,0.9488
Google,ResNet,Strong,0.9309,0.9423,0.9398
Google,AlexNet,Original,0.9730,0.9728,0.9810
Google,AlexNet,Weak,0.9682,0.9714,0.9767
Google,AlexNet,Medium ,0.9701,0.9695,0.9767
Google,AlexNet,Strong,0.9571,0.9512,0.9543
Google,VGG,Original,0.9775,0.9783,0.9854
Google,VGG,Weak,0.9743,0.9835,0.9830
Google,VGG,Medium ,0.9716,0.9797,0.9753
Google,VGG,Strong,0.9699,0.9764,0.9731
