model,imbalance,bing_vs_bing,bing_vs_all,ddg_vs_ddg,ddg_vs_all,google_vs_google,google_vs_all
resnet,original,0.9704,0.9734,0.9733,0.9714,0.9504,0.9517
resnet,weak,0.9685,0.9688,0.9686,0.9711,0.9490,0.9479
resnet,medium,0.9699,0.9734,0.9706,0.9720,0.9488,0.9484
resnet,strong,0.9561,0.9588,0.9569,0.9576,0.9398,0.9376
alexnet,original,0.9489,0.9477,0.9528,0.9492,0.9810,0.9756
alexnet,weak,0.9453,0.9353,0.9454,0.9474,0.9767,0.9721
alexnet,medium,0.9403,0.9418,0.9480,0.9497,0.9767,0.9721
alexnet,strong,0.9272,0.9356,0.9459,0.9357,0.9543,0.9542
vgg,original,0.9791,0.9802,0.9830,0.9788,0.9854,0.9804
vgg,weak,0.9796,0.9795,0.9845,0.9814,0.9830,0.9803
vgg,medium,0.9735,0.9752,0.9772,0.9730,0.9753,0.9755
vgg,strong,0.9717,0.9738,0.9692,0.9654,0.9731,0.9731
