,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
0,bing,,,,,alexnet,bing,20/80,0.92300004,0.87903225,0.981,0.9272212
1,bing,,,,,alexnet,bing,30/70,0.94000006,0.9288499,0.953,0.94077
2,bing,,,,,alexnet,bing,40/60,0.94600004,0.95790553,0.933,0.9452887
3,bing,,,,,alexnet,bing,50/50,0.94850004,0.94187194,0.956,0.94888335
4,bing,,,,,resnet,bing,20/80,0.9545,0.9227907,0.992,0.95614463
5,bing,,,,,resnet,bing,30/70,0.96950006,0.9571568,0.983,0.9699063
6,bing,,,,,resnet,bing,40/60,0.96800005,0.9689379,0.967,0.9679679
7,bing,,,,,resnet,bing,50/50,0.97,0.9589844,0.982,0.9703557
8,bing,,,,,vgg,bing,20/80,0.9710001,0.94857144,0.996,0.9717073
9,bing,,,,,vgg,bing,30/70,0.97300005,0.955684,0.992,0.9735034
10,bing,,,,,vgg,bing,40/60,0.97950006,0.975223,0.984,0.97959185
11,bing,,,,,vgg,bing,50/50,0.97900003,0.9742574,0.984,0.97910446
12,bing,,,,,alexnet,ddg,20/80,0.92700005,0.88959855,0.975,0.93034357
13,bing,,,,,alexnet,ddg,30/70,0.94850004,0.9283668,0.972,0.9496825
14,bing,,,,,alexnet,ddg,40/60,0.94900006,0.94543654,0.953,0.9492032
15,bing,,,,,alexnet,ddg,50/50,0.9455,0.93210477,0.961,0.9463319
16,bing,,,,,resnet,ddg,20/80,0.95400006,0.92350745,0.99,0.9555984
17,bing,,,,,resnet,ddg,30/70,0.97,0.95988256,0.981,0.97032636
18,bing,,,,,resnet,ddg,40/60,0.96950006,0.9728097,0.966,0.9693929
19,bing,,,,,resnet,ddg,50/50,0.96700007,0.95694715,0.978,0.96735907
20,bing,,,,,vgg,ddg,20/80,0.96250004,0.9342723,0.995,0.9636804
21,bing,,,,,vgg,ddg,30/70,0.96950006,0.9501438,0.991,0.97014195
22,bing,,,,,vgg,ddg,40/60,0.97650003,0.9713155,0.982,0.9766285
23,bing,,,,,vgg,ddg,50/50,0.97300005,0.9664694,0.98,0.9731877
24,bing,,,,,alexnet,google,20/80,0.93000007,0.8887884,0.983,0.93352324
25,bing,,,,,alexnet,google,30/70,0.943,0.9292636,0.959,0.94389766
26,bing,,,,,alexnet,google,40/60,0.9505001,0.93442625,0.969,0.9513992
27,bing,,,,,alexnet,google,50/50,0.95550007,0.95323384,0.958,0.95561093
28,bing,,,,,resnet,google,20/80,0.95500004,0.9212963,0.995,0.9567308
29,bing,,,,,resnet,google,30/70,0.97,0.96626985,0.974,0.9701195
30,bing,,,,,resnet,google,40/60,0.96800005,0.96428573,0.972,0.9681275
31,bing,,,,,resnet,google,50/50,0.9735001,0.973027,0.974,0.97351325
32,bing,,,,,vgg,google,20/80,0.96950006,0.9441816,0.998,0.9703452
33,bing,,,,,vgg,google,30/70,0.97150004,0.95292985,0.992,0.97207254
34,bing,,,,,vgg,google,40/60,0.97300005,0.96463656,0.982,0.9732408
35,bing,,,,,vgg,google,50/50,0.97700006,0.977,0.977,0.977
36,ddg,,,,,alexnet,bing,20/80,0.93750006,0.906221,0.976,0.939817
37,ddg,,,,,alexnet,bing,30/70,0.9405,0.94271356,0.938,0.9403509
38,ddg,,,,,alexnet,bing,40/60,0.93350005,0.9606801,0.904,0.9314786
39,ddg,,,,,alexnet,bing,50/50,0.94850004,0.95532995,0.941,0.9481109
40,ddg,,,,,resnet,bing,20/80,0.95800006,0.93289226,0.987,0.95918363
41,ddg,,,,,resnet,bing,30/70,0.975,0.972167,0.978,0.9750748
42,ddg,,,,,resnet,bing,40/60,0.97,0.98155737,0.958,0.9696356
43,ddg,,,,,resnet,bing,50/50,0.97550005,0.9721946,0.979,0.9755854
44,ddg,,,,,vgg,bing,20/80,0.98,0.97244096,0.988,0.98015875
45,ddg,,,,,vgg,bing,30/70,0.98,0.9743083,0.986,0.9801193
46,ddg,,,,,vgg,bing,40/60,0.9825001,0.9849246,0.98,0.98245615
47,ddg,,,,,vgg,bing,50/50,0.9815,0.9848943,0.978,0.98143506
48,ddg,,,,,alexnet,ddg,20/80,0.943,0.9140187,0.978,0.9449276
49,ddg,,,,,alexnet,ddg,30/70,0.94600004,0.93050194,0.964,0.9469548
50,ddg,,,,,alexnet,ddg,40/60,0.94600004,0.94779116,0.944,0.9458918
51,ddg,,,,,alexnet,ddg,50/50,0.95100003,0.93786407,0.966,0.9517241
52,ddg,,,,,resnet,ddg,20/80,0.95550007,0.9276995,0.988,0.9569007
53,ddg,,,,,resnet,ddg,30/70,0.9710001,0.9672619,0.975,0.9711155
54,ddg,,,,,resnet,ddg,40/60,0.97050005,0.9825641,0.958,0.97012657
55,ddg,,,,,resnet,ddg,50/50,0.97300005,0.9637255,0.983,0.9732673
56,ddg,,,,,vgg,ddg,20/80,0.9685,0.9466158,0.993,0.9692533
57,ddg,,,,,vgg,ddg,30/70,0.97650003,0.9676153,0.986,0.97672117
58,ddg,,,,,vgg,ddg,40/60,0.98350006,0.98592967,0.981,0.98345864
59,ddg,,,,,vgg,ddg,50/50,0.98350006,0.98592967,0.981,0.98345864
60,ddg,,,,,alexnet,google,20/80,0.9405,0.9090065,0.979,0.9427058
61,ddg,,,,,alexnet,google,30/70,0.952,0.9484127,0.956,0.95219123
62,ddg,,,,,alexnet,google,40/60,0.94600004,0.94333994,0.949,0.94616145
63,ddg,,,,,alexnet,google,50/50,0.9480001,0.9562118,0.939,0.9475277
64,ddg,,,,,resnet,google,20/80,0.94900006,0.91268384,0.993,0.9511494
65,ddg,,,,,resnet,google,30/70,0.97,0.9718875,0.968,0.9699399
66,ddg,,,,,resnet,google,40/60,0.97150004,0.97291875,0.97,0.9714572
67,ddg,,,,,resnet,google,50/50,0.97300005,0.9777778,0.968,0.9728643
68,ddg,,,,,vgg,google,20/80,0.97650003,0.9630709,0.991,0.97683585
69,ddg,,,,,vgg,google,30/70,0.97900003,0.97053045,0.988,0.9791873
70,ddg,,,,,vgg,google,40/60,0.98350006,0.9820538,0.985,0.9835247
71,ddg,,,,,vgg,google,50/50,0.97850007,0.98677516,0.97,0.97831565
72,google,,,,,alexnet,bing,20/80,0.938,0.91320753,0.968,0.9398058
73,google,,,,,alexnet,bing,30/70,0.9455,0.95786226,0.932,0.9447541
74,google,,,,,alexnet,bing,40/60,0.9315,0.9624866,0.898,0.9291257
75,google,,,,,alexnet,bing,50/50,0.94650006,0.9551478,0.937,0.94598687
76,google,,,,,resnet,bing,20/80,0.9595001,0.93472093,0.988,0.96062225
77,google,,,,,resnet,bing,30/70,0.975,0.96936756,0.981,0.9751491
78,google,,,,,resnet,bing,40/60,0.9685,0.97854954,0.958,0.96816576
79,google,,,,,resnet,bing,50/50,0.97450006,0.96474046,0.985,0.974765
80,google,,,,,vgg,bing,20/80,0.96900004,0.9492337,0.991,0.9696673
81,google,,,,,vgg,bing,30/70,0.97150004,0.95821184,0.986,0.9719073
82,google,,,,,vgg,bing,40/60,0.97650003,0.9731877,0.98,0.976582
83,google,,,,,vgg,bing,50/50,0.98,0.97713715,0.983,0.9800598
