,dataset,math,attack,model,modelDataset,balancing,time
0,bing,False,,,,,68.31585717
1,ddg,False,,,,,61.94763088
2,google,False,,,,,67.22491789
3,google,True,FGSM,alexnet,google,20/80,15.49997497
4,google,True,CW,alexnet,google,20/80,109.3251619
5,google,True,FAB,alexnet,google,20/80,351.9183409
6,google,True,DIFGSM,alexnet,google,20/80,22.78587675
7,google,True,DeepFool,alexnet,google,20/80,38.95650935
8,google,True,FGSM,alexnet,google,30/70,4.37014389
9,google,True,CW,alexnet,google,30/70,104.9727201
10,google,True,FAB,alexnet,google,30/70,359.1882801
11,google,True,DIFGSM,alexnet,google,30/70,23.49352527
12,google,True,DeepFool,alexnet,google,30/70,34.5507884
13,google,True,FGSM,alexnet,google,40/60,4.023498774
14,google,True,CW,alexnet,google,40/60,106.2272916
15,google,True,FAB,alexnet,google,40/60,354.251142
16,google,True,DIFGSM,alexnet,google,40/60,23.34753513
17,google,True,DeepFool,alexnet,google,40/60,34.93029976
18,google,True,FGSM,alexnet,google,50/50,3.86073494
19,google,True,CW,alexnet,google,50/50,102.8717737
20,google,True,FAB,alexnet,google,50/50,343.7744527
21,google,True,DIFGSM,alexnet,google,50/50,28.43890762
22,google,True,DeepFool,alexnet,google,50/50,52.44976234
23,google,True,FGSM,resnet,google,20/80,7.665537596
24,google,True,CW,resnet,google,20/80,748.0323329
25,google,True,FAB,resnet,google,20/80,825.0800521
26,google,True,DIFGSM,resnet,google,20/80,69.47301579
27,google,True,DeepFool,resnet,google,20/80,97.45500946
28,google,True,FGSM,resnet,google,30/70,6.19004035
29,google,True,CW,resnet,google,30/70,352.3079605
30,google,True,FAB,resnet,google,30/70,842.0179601
31,google,True,DIFGSM,resnet,google,30/70,69.70655966
32,google,True,DeepFool,resnet,google,30/70,109.4403119
33,google,True,FGSM,resnet,google,40/60,6.165422678
34,google,True,CW,resnet,google,40/60,351.8676302
35,google,True,FAB,resnet,google,40/60,830.1168349
36,google,True,DIFGSM,resnet,google,40/60,69.04478002
37,google,True,DeepFool,resnet,google,40/60,119.1763289
38,google,True,FGSM,resnet,google,50/50,5.774794102
39,google,True,CW,resnet,google,50/50,317.0368826
40,google,True,FAB,resnet,google,50/50,690.6511149
41,google,True,DIFGSM,resnet,google,50/50,60.14811015
42,google,True,DeepFool,resnet,google,50/50,77.61633229
43,google,True,FGSM,vgg,google,20/80,13.5974133
44,google,True,CW,vgg,google,20/80,1285.039453
45,google,True,FAB,vgg,google,20/80,2572.074352
46,google,True,DIFGSM,vgg,google,20/80,245.4014952
47,google,True,DeepFool,vgg,google,20/80,199.6598816
48,google,True,FGSM,vgg,google,30/70,13.4618876
49,google,True,CW,vgg,google,30/70,1062.486935
50,google,True,FAB,vgg,google,30/70,2642.527467
51,google,True,DIFGSM,vgg,google,30/70,258.7111416
52,google,True,DeepFool,vgg,google,30/70,207.1909637
53,google,True,FGSM,vgg,google,40/60,13.69638014
54,google,True,CW,vgg,google,40/60,1251.632261
55,google,True,FAB,vgg,google,40/60,2547.280772
56,google,True,DIFGSM,vgg,google,40/60,260.2697504
57,google,True,DeepFool,vgg,google,40/60,201.456223
58,google,True,FGSM,vgg,google,50/50,13.93256521
59,google,True,CW,vgg,google,50/50,1065.977853
60,google,True,FAB,vgg,google,50/50,2434.771449
61,google,True,DIFGSM,vgg,google,50/50,255.5803797
62,google,True,DeepFool,vgg,google,50/50,196.5443962
63,ddg,True,FGSM,alexnet,ddg,20/80,4.697265148
64,ddg,True,CW,alexnet,ddg,20/80,19.49739504
65,ddg,True,FAB,alexnet,ddg,20/80,88.54739571
66,ddg,True,DIFGSM,alexnet,ddg,20/80,4.268498659
67,ddg,True,DeepFool,alexnet,ddg,20/80,5.614427567
68,ddg,True,FGSM,alexnet,ddg,30/70,1.069970608
69,ddg,True,CW,alexnet,ddg,30/70,19.34793258
70,ddg,True,FAB,alexnet,ddg,30/70,82.33106494
71,ddg,True,DIFGSM,alexnet,ddg,30/70,4.171968699
72,ddg,True,DeepFool,alexnet,ddg,30/70,6.685696602
73,ddg,True,FGSM,alexnet,ddg,40/60,1.089883566
74,ddg,True,CW,alexnet,ddg,40/60,19.54163289
75,ddg,True,FAB,alexnet,ddg,40/60,74.55836654
76,ddg,True,DIFGSM,alexnet,ddg,40/60,4.150429249
77,ddg,True,DeepFool,alexnet,ddg,40/60,5.803326607
78,ddg,True,FGSM,alexnet,ddg,50/50,1.127528191
79,ddg,True,CW,alexnet,ddg,50/50,19.54571795
80,ddg,True,FAB,alexnet,ddg,50/50,79.38696218
81,ddg,True,DIFGSM,alexnet,ddg,50/50,4.140011787
82,ddg,True,DeepFool,alexnet,ddg,50/50,6.170917273
83,ddg,True,FGSM,resnet,ddg,20/80,1.490353107
84,ddg,True,CW,resnet,ddg,20/80,56.07945156
85,ddg,True,FAB,resnet,ddg,20/80,160.3454049
86,ddg,True,DIFGSM,resnet,ddg,20/80,11.29330707
87,ddg,True,DeepFool,resnet,ddg,20/80,13.74766183
88,ddg,True,FGSM,resnet,ddg,30/70,1.420799017
89,ddg,True,CW,resnet,ddg,30/70,55.51065326
90,ddg,True,FAB,resnet,ddg,30/70,156.6126122
91,ddg,True,DIFGSM,resnet,ddg,30/70,11.37087274
92,ddg,True,DeepFool,resnet,ddg,30/70,15.1219182
93,ddg,True,FGSM,resnet,ddg,40/60,1.477341175
94,ddg,True,CW,resnet,ddg,40/60,56.21191549
95,ddg,True,FAB,resnet,ddg,40/60,148.3835943
96,ddg,True,DIFGSM,resnet,ddg,40/60,11.37633801
97,ddg,True,DeepFool,resnet,ddg,40/60,13.06821513
98,ddg,True,FGSM,resnet,ddg,50/50,1.436304331
99,ddg,True,CW,resnet,ddg,50/50,56.15170908
100,ddg,True,FAB,resnet,ddg,50/50,158.4216552
101,ddg,True,DIFGSM,resnet,ddg,50/50,11.26640821
102,ddg,True,DeepFool,resnet,ddg,50/50,15.79644394
103,ddg,True,FGSM,vgg,ddg,20/80,2.306093931
104,ddg,True,CW,vgg,ddg,20/80,132.2401304
105,ddg,True,FAB,vgg,ddg,20/80,313.339046
106,ddg,True,DIFGSM,vgg,ddg,20/80,26.69602895
107,ddg,True,DeepFool,vgg,ddg,20/80,32.98977566
108,ddg,True,FGSM,vgg,ddg,30/70,2.244037867
109,ddg,True,CW,vgg,ddg,30/70,133.1534667
110,ddg,True,FAB,vgg,ddg,30/70,309.0280101
111,ddg,True,DIFGSM,vgg,ddg,30/70,26.51826286
112,ddg,True,DeepFool,vgg,ddg,30/70,32.49956656
113,ddg,True,FGSM,vgg,ddg,40/60,2.204001188
114,ddg,True,CW,vgg,ddg,40/60,133.3035383
